Date,M,AL,AS,BR,CA,CL,CR,CU,EC1,EC2,EC3,FE,H,K,MN,NA,NI,NO3,OC1,OC2,OC3,OC4,OP,PB,RB,S,SE,SI,SR,TI,V,ZN
30-พ.ย.-01,0.600733333,0.04896,0.000116667,0.000576667,0.00822,0.006516667,0.002116667,0.00054,0.3068,0.048466667,0.018583333,0.010566667,0.03739,0.008943333,0.002033333,0.059036667,0.000223333,0.1135,0.364066667,0.157466667,0.173,0.1578,0.017833333,0.000503333,0.000175,0.081716667,0.000203333,0.015226667,0.00021,0.00441,0.003386667,0.001053333
1-ธ.ค.-01,0.401,0.023725,0.000075,0.000266667,0.005056667,0.006008333,0.002108333,0.000283333,0.159333333,0.0475,0.0185,0.003676667,0.023756667,0.006423333,0.002058333,0.039306667,0.00021,0.082233333,0.249533333,0.091733333,0.0855,0.062533333,0.0236,0.000326667,0.000173333,0.058296667,0.00013,0.01127,0.000203333,0.003091667,0.002908333,0.00065
2-ธ.ค.-01,0.320133333,0.018,6.66667E-05,0.000183333,0.003413333,0.004133333,0.001403333,0.000303333,0.168333333,0.0658,0.0185,0.002086667,0.017163333,0.004956667,0.001325,0.023241667,0.000176667,0.0244,0.255533333,0.099733333,0.0702,0.041633333,0.0424,0.000253333,0.00015,0.04773,0.000106667,0.00864,0.000196667,0.00293,0.00243,0.000633333
3-ธ.ค.-01,0.3594,0.03476,0.000075,0.000336667,0.004783333,0.004475,0.001491667,0.000273333,0.1698,0.069266667,0.025733333,0.004503333,0.020546667,0.005716667,0.0019,0.033723333,0.000143333,0.067633333,0.170166667,0.098566667,0.0789,0.0616,0.065633333,0.000326667,0.00015,0.048416667,0.00015,0.011706667,0.00021,0.002191667,0.002696667,0.000666667
4-ธ.ค.-01,0.4926,0.02565,8.33333E-05,0.000326667,0.00537,0.004108333,0.001341667,0.00031,0.210666667,0.0737,0.042266667,0.005323333,0.02649,0.00542,0.001308333,0.047723333,0.000243333,0.171533333,0.231333333,0.109233333,0.104866667,0.092166667,0.018166667,0.000393333,0.00019,0.048043333,0.00016,0.01136,0.000156667,0.00248,0.00185,0.001156667
5-ธ.ค.-01,0.726766667,0.023775,9.16667E-05,0.000373333,0.005196667,0.006116667,0.002376667,0.000463333,0.445066667,0.085,0.033966667,0.00505,0.0474,0.00615,0.001883333,0.034756667,0.00033,0.235466667,0.344333333,0.169033333,0.141966667,0.133666667,0.018166667,0.00044,0.00022,0.111566667,0.000186667,0.01086,0.00019,0.003136667,0.002691667,0.00116
6-ธ.ค.-01,0.523566667,0.03272,0.0001,0.00036,0.010626667,0.004791667,0.00155,0.000583333,0.404466667,0.0625,0.018916667,0.011306667,0.029223333,0.006903333,0.002076667,0.05445,0.00024,0.043166667,0.385533333,0.126533333,0.143666667,0.129066667,0.018166667,0.000463333,0.000193333,0.059246667,0.000166667,0.013543333,0.00019,0.003453333,0.002141667,0.001226667
7-ธ.ค.-01,0.552066667,0.02816,9.16667E-05,0.00046,0.003956667,0.004483333,0.00145,0.00034,0.213066667,0.0508,0.018916667,0.00417,0.032266667,0.005593333,0.001391667,0.037883333,0.00027,0.1756,0.315133333,0.095933333,0.116766667,0.107666667,0.018166667,0.000466667,0.000223333,0.061163333,0.000193333,0.009386667,0.00027,0.002125,0.004866667,0.001026667
8-ธ.ค.-01,0.477833333,0.021475,9.16667E-05,0.00047,0.0038,0.005183333,0.001726667,0.000303333,0.185533333,0.060966667,0.019166667,0.00424,0.030013333,0.004853333,0.00155,0.159666667,0.000183333,0.067366667,0.276066667,0.097966667,0.0887,0.0686,0.029566667,0.000386667,0.000166667,0.105476667,0.000183333,0.009536667,0.000193333,0.003376667,0.002356667,0.000963333
9-ธ.ค.-01,0.783033333,0.0264,0.000476667,0.000593333,0.008056667,0.006058333,0.001791667,0.000386667,0.291933333,0.043266667,0.019166667,0.00532,0.05099,0.00851,0.001716667,0.263766667,0.00029,0.1903,0.417866667,0.142266667,0.2124,0.1783,0.018416667,0.00069,0.000166667,0.144206667,0.000206667,0.015486667,0.000196667,0.002716667,0.002458333,0.001483333
